index,company,category,training/test,description
10,株式会社ＤＴＳ,IT,training,  情報システム の 開発 ・ 導入 支援 ・ 運用 ・ 保守 など を 手がける 。 主 に 、 銀行 や 証券会社 など の 金融 分野 や 、 年金 や 自治体 など の 公共 分野 の 顧客 に対して 勘定系システム や 年金 システム など を 提供 する 。 また 、 通信業 や 製造業 、 小売業 など の 法人 に 向け て 、 ERP システム や ビッグデータ 解析 システム など の 開発 および パッケージ システム の 販売 を 
11,株式会社ＮＳＤ,IT,training,  金融業 や 保険業 向け の システム 、 報道 システム 、 通信システム の 開発 を 行う 。 また 、 製品 受給 および 生産管理 、 受発注 の 管理 など 商業 や 製造業 向け の システム の 開発 も 手がける 。 さらに 、 貨物輸送 状況 照会 システム や 公営競技 向け トータリゼータシステム 、 大学 および 地方自治体 向け の システム の 開発 に も 取り組む 。 加え て 、 プラ 
12,日鉄ソリューションズ株式会社,IT,training,  ビジネス の 問題解決 や 新 ビジネスモデル 支援 および 、 経営 や 情報技術 視点 の 顧客 情報システム に関する コンサルティング を 手掛け て いる 。 また 、 システム の 企画 や 提案 の 他 、 設計 や 構築 、 運用 サービス の 提供 を 行う 業務 ソリューション 事業 を 手掛ける 。 その他 、 プラットフォーム 構築 技術 や 運用 ノウハウ を 組み合わせ た IT イ 
13,株式会社アルファシステムズ,IT,training,  固定 網 ・ モバイル 網 の 交換 ノード 、 伝送 装置 を 始め と する ノード に 加え て 、 無線 基地局 ・ 携帯端末 に 使用 さ れる ソフトウェア 、 通信 ネットワーク の 管理 システム など の 通信システム 開発 を 手掛ける 。 その他 、 官公庁 など の 公共団体 に 社会インフラ 関連 システム を 、 流通 ・ サービス 業界 に インターネットビジネス 関 
14,日本電気通信システム株式会社,IT,training,  通信事業者 向け の ネットワーク システム の 設計 や 構築 を 手掛ける 。 また 、 ソフトウェア ・ アプリケーション の 開発 も 行う 他 、 ネットワーク プロダクト に関する 製品 の 企画 および 
15,ネットワンシステムズ株式会社,IT,training,  民間企業 や 通信事業 会社 および 省庁 ・ 自治体 向け に ICT システム の 構築 を 手掛ける 。 システム 構築 に 関連 し た セキュリティ や IT インフラ 、 ワーク スタイル 等 について 問題解決 の ため の 企画 ・ 開発 ・ コンサルティング を 行う ほか 、 システム の 運用 や 保守 ・ 最適化 に も 対応 する 。 また 、 製品 ベンダー と の 協業 や 技術 
16,ＴＩＳソリューションリンク株式会社,IT,training,  エンジニア を 顧客 の 企業 に 常駐 さ せ 、 システム開発 や 運用 など の 技術 や 体制 を 提供 する オンサイト プロフェッショナル サービス 
17,三機工業株式会社,IT,training,  建築設備 事業 として 、 大 空間 向け 空調 システム 「 ペリループ 」 を はじめ と する ビル 空調 衛生 事業 、 ビルディング ・ オートメーション 技術 「 San BACS 」 や Web ビル 情報 配信サービス 「 S - BIWOS 」 など を 用い た スマートビル 事業 を 手掛ける 。 また プラント 設備 事業 として 、 クリーンルーム 内 搬送 技術 や 空港 手荷物 搬 
18,株式会社日立システムズエンジニアリングサービス,IT,training,  エンジニア を 派遣 し サーバー や メインフレーム など の オンサイト 運用 代行 サービス を 手掛け て いる 。 また 、 金融機関 や 保険 業界 および 
19,三菱ＵＦＪインフォメーションテクノロジー株式会社,IT,training,  三菱UFJ フィナンシャル ・ グループ 内 の システム の 設計 ・ 開発 を 行う 会社 。 三菱東京UFJ銀行 の 勘定系システム や グループ 各社 
20,ＣＴＣシステムマネジメント株式会社,IT,training,  IT システム の 開発 と 運用 サービス など を 行っ て いる 。 サービス の 対象 と なる 企業 や 事業 は 通信事業 者 や 金融 など 大規模 で 公共性 が 高い もの 
21,日本システムウエア株式会社,IT,training,  IT ソリューション 事業 と プロダクト ソリューション 事業 の 2つ を 主 な 事業領域 と する 。 IT ソリューション 事業 で は 製造業 や 金融業 、 官公庁 向け に コンサルティング 、 システム の 開発 から 保守 ・ 運用 まで 一貫 し て 請け負っ て いる 。 具体的 に は 製造業 向け の 生産 スケジューラ 「 Asprova 
22,株式会社Ｓｕｎ　Ａｓｔｅｒｉｓｋ,IT,training,  ベトナム の ハノイ工科大学 と 協力関係 に あり 、 ベトナム で の ソフトウェア の オフショア開発 に 強み を 持つ 。 また 、 スタートアップ へ の 投資 や アクセラレータプログラ 
23,株式会社日立ＩＣＴビジネスサービス,IT,training,  日立グループ 傘下 の 会社 で 、 事務 や IT系 、 製造 系 の BPO や Web 制作 など を 請け負う 。 BPO で は 営業 事務 支援 や SE 支援 業務 、 調達 支援 業務 など を 
24,住友電設株式会社,IT,training,  架空 送電 線 設備 や 地中 送電 設備 、 変電設備 といった 設備 や 配電 線 設備 など の 電力 工事 、 一般 電気工事 、 情報通信 工事 、 プラント ・ 空調 工事 といった 設備工事 を 行う 。 また 、 それら の 工事 に 関連 する エンジニアリング サービス や 機器 の 販売 など を 手掛け 
25,株式会社ＯＫＩソフトウェア,IT,training,  情報システム や ネットワーク の 構築 、 保守 及び 機器 組込 ソフト の 開発 を 行う 。 また 取扱 製品 として 、 顧客管理 システム 「 enjoy . CRM 」 や 応対 管 
26,明治安田システム・テクノロジー株式会社,IT,training,  保険会社 向け の 医療 査定 支援 システム で ある 「 医療 査定 な び 」 や 、 先進医療 情報 照会 システム で ある 「 先進医療 な び 」 の 開発 ・ 販売 を 行う 。 また 、 介護 総合 情報 サイト 「 MY 介護 の 広場 
27,株式会社インテックソリューションパワー,IT,training,  情報 戦略 や 業務 改革 および セキュリティ 強化 など に関する IT コンサルティング を 手掛ける 。 また 、 流通 や 金融 、 製造 など の 業界 で シ 
28,株式会社ＮＴＴデータ・ビジネス・システムズ,IT,training,  業務 や システム 、 経営戦略 に関する コンサルティング を 行っ て いる 会社 。 また 、 営業管理 や 顧客管理 など 各種 基幹 業務 システム の 開 
29,ＮＴＴコムソリューションズ株式会社,IT,training,  NTTコミュニケーションズ グループ に 属し 、 企業 向け に ICT ソリューション を 提供 する 会社 で ある 。 また 、 クラウド 環境 の 設計 から 運用 、 ネットワークソリュ 
30,株式会社菱友システムズ,IT,training,  生産管理 システム や 製品ライフサイクル 管理 関連 システム の 開発 、 サーバー および ネットワーク ならび に 周辺機器 システム の 保守 ・ 運用 ・ 監視 を 手掛ける 。 また 、 航空機 や ロケット など の 空力 ・ 構造 解析 など を 行う 解析 ソリューション サービス の 提供 に も 取り組む 。 その他 、 画像 認識 や 音声認識 および 自然言語処理 など を 行う AI 搭載 シ 
31,キャル株式会社,IT,training,  官公庁 や 一般 企業 を 対象 と し た 受託 システム開発 や 、 電気回路 の 設計 など を 手掛ける 。 官公庁 向け システム の 実績 に 、 土木工事 積算 システム や 防災 情報管理 システム など が 
32,株式会社ＪＳＯＬ,IT,training,  医薬 業界 や 食品 業界 および 自動車業界 など を 対象 に 、 基幹 システム の 導入 から 業務効率化 ・ コスト削減 に関する ソリューション まで を 提供 し て いる 。 ま 
33,株式会社あとらす二十一,IT,training,  主 に Web 制作 や インターネット広告 事業 を 行う 。 ゲーム 会社 や 旅行会社 、 化粧品メーカー 、 出版社 など を 
34,株式会社フォーカスシステムズ,IT,training,  官公庁 や 地方自治体 など の 公共機関 向け に 、 社会保険 システム や 航空 管制 システム など の 公共 関連 システム の 開発 を 手がける 。 また 、 情報通信 機器 メーカー や SIer など の 民間企業 向け に 、 通信 制御システム や 端末 組込 型 システム の 受託 開発 を 行う 。 その他 、 ハードウェア ・ ネットワーク 
35,株式会社ケアリッツ・アンド・パートナーズ,IT,training,  身体 介護 と 生活 援助 を 行う 訪問介護 サービス や デイサービス 運営 、 福祉 器具 の 販売 ・ レンタル など を 行っ て いる 。 また 、 Web 開発 、 金 
36,株式会社ヴィンクス,IT,training,  主 に 、 情報 関連 サービス 事業 を 手掛け 、 アウトソーシング 分野 ・ ソリューション 分野 ・ プロダクト 分野 の 3分 野 を 有する 。 アウトソーシング 分野 で は 、 販売 管理 等 の 基幹 システム ・ クレジットカード システム ・ 会計 システム 等 の 業務 システム の 運用 管理 に 加え 、 業務 システム の ソフトウエア に関する 保守 について 、 アウトソ 
37,エヌ・ティ・ティ・システム開発株式会社,IT,training,  発注管理 や 売上 管理 など の システム の 開発 や 構築 を 行う 。 また 、 在庫管理 や 経営管理 、 Web システム など も 取り扱っ て いる 。 さらに 、 通 
38,ピットクルー株式会社,IT,training,  ネットビジネス における 広告 審査 支援 や ネット調査 、 投稿 監視 など の サービス を 行っ て いる 。 また 、 製品 や サービス に対する カスタマー サポート を 
39,アイテック阪急阪神株式会社,IT,training,  社会 システム に 関連 する システム の 開発 および 販売 を 主 に 行っ て おり 、 鉄道 の 運行管理 システム や ビル の マネジメント システム 、 電子カルテ など の 製品 を 取り扱っ て いる 。 
40,ＮＣＳ＆Ａ株式会社,IT,training,  「 確定申告 受付 支援 システム 」 「 住民 情報システム 」 「 電子カルテ システム 」 「 販売 管理 システム 」 など の 医療 ・ 金融業 ・ 製造業 ・ サービス業 向け の IT ソリューション の 開発 および 販売 を 行う 。 また 、 コンピュータ 機器 の 保守 を 行う ハードウエア 保守 サービス や 企業 の コンピュータシス 
41,ＪＢＣＣ株式会社,IT,training,  企業 の 情報システム 設計 ・ 構築 から 運用 ・ 保守 まで を 手掛ける 他 、 「 俺 の クラウド 」 と 総称 さ れる クラウド 環境 の 提供 を 行う 。 また 
42,デジタル・インフォメーション・テクノロジー株式会社,IT,training,  2015年 に JASDAQ 、 2016年 に 東証2部 に 上場 を 果たし た DIT だ が 、 大きな 事業 は ビジネス ソリューション 事業 と 組込 ソフトウェア開発 の ２つ 。 ビジネス ソリューション 事業 で は 、 金融 系 の 企業 を 中心 として 通信 ・ 流通 ・ 運輸 など の 分野 向け に 、 営業 から 事務 、 ECサイト から 社内 システム まで と 、 幅広い 業務 や 用途 の システム を クライアント に 合わせ て 開発 ・ 構築 から 保守 ・ 運用 まで を 行う 。 組込 ソフトウェア開発 で 
43,ＥＭＣジャパン株式会社,IT,training,  情報 の 保存 や 管理 、 保護 を 行う Dell EMC の ディスクアレイ 装置 や ストレージ 管理 ソフトウェア の 販売 ・ 保守 を 手掛け て い 
44,サイバーコム株式会社,IT,training,  無線通信 システム を はじめ と し た 通信 ソフトウェア や 、 公共交通機関 運賃 精算 システム など の 制御 ソフトウェア 、 電子カルテ システム といった 業務 ソフトウェア の 開発 を 行う ソフトウェア開発 事業 を 手掛ける 。 また 、 ネットワーク 設計 ・ 構築 ・ 導入 や ク 
45,株式会社ソルコム,IT,training,  光ファイバーケーブル を 地中 に 埋め込む 等 の 電気通信 工事 や 設計 、 施工 および 保守 を 行う 。 また 企業 ビル 内 の 電気通信 機器 と 情報処理 
46,株式会社システムリサーチ,IT,training,  子会社 の 株式会社 ソエル と共に 、 クレジット 決済 や 電子マネー 決済 の 可能 な POS 管理 システム および 、 高度 な FA 制御 技術開発 用 の 総合 開発 環境 など といった 専門 的 な 分野 も 含め た 、 システム開発 ・ 構築 サービス の 提供 を 手掛ける 。 また 、 常駐 型 を 中心 と し た ソフトウェア開発 の 請負 や 派遣 も 行う 。 さらに 、 販売 管理 や 給与計算 など の ソフトウェア プロダクト の 作成 および 販売 、 保守 、 ハード 
47,株式会社ＮＴＴデータＭＨＩシステムズ,IT,training,  三菱重工グループ の グループ会社 として 、 グループ 向け 業務 系 アプリケーション の 企画 や 開発 および 運用 を 行う 。 製品情報管理 システム や 経営資源 管理 シス 
48,日本事務器株式会社,IT,training,  医療機関 や 自治体 、 製造業 、 流通業 など に対し 、 システム の 開発 を 請け負う 。 また 、 ハードウェア 、 OS や DBMS など の プラットフォーム ソフト や ネット ワ 
49,株式会社ＣＩＪ,IT,training,  システム の 開発 ・ 販売 ・ 運用 ・ 保守 を 行う 。 主 に 、 OS や データベース 、 アプリケーションサーバ 、 運用 管理 ソフト 、 Web システム など を 取り扱っ て おり 、 金融機関 向け 信販 （ クレジット ） 業務 システム や 製紙会社 基幹 業務 システム （ CASET → COBOL ） 等 の 製造業 向け システム など を 手掛ける 。 また 、 社会福祉協議会 向け 総合 システム 「 SWING 」 、 自治体 向 
50,株式会社ＤＮＰデジタルソリューションズ,IT,training,  情報システム 運用 に関する コンサルティング 事業 を 手掛ける 。 また 、 Webサイト の 企画 や 制作 、 運営 
51,株式会社クエスト,IT,training,  情報システム に関する コンサルティング や 業務 システム の 開発 、 保守 および IT インフラ の 構築 、 運用 管理 など 情報サービス に関する 一貫 し た 業務 を 手掛ける 。 また 、 IT コンサルティング業務 として 、 IT戦略 の 立案 から 運用 まで IT 投資 の 効率 を 最大 化 さ せる 「 IT Value - Up サービス 」 など を 行う 。 加え て 、 アプリケ 
52,東芝ＩＴコントロールシステム株式会社,IT,training,  バーチャルパワープラント など の 広域 分散 蓄電 システム を 構築 する ため の リチウムイオン 蓄電 システム など を 製造 し て いる 。 また 、 スキャンモード 
53,株式会社ＪＩＥＣ,IT,training,  ダイレクトバンキングシステム や 、 損害 サービス システム といった 金融 ・ 保険 分野 における システム開発 および 導入 を 手掛ける 。 また 、 旅行 ・ 運輸 分野 の 座席 予約 シ 
54,エリクソン・ジャパン株式会社,IT,training,  主 に 電気通信 機器 や その 周辺機器 における 研究開発 や 標準化 活動 を 行う 。 また 、 通信機器 の 設計 や 製造 、 販売 および 設置 
55,サンワコムシスエンジニアリング株式会社,IT,training,  電話 通信回線 の 敷設 や 交換 設備 、 無線 中継 基地局 の 建設 など 、 通信 インフラ における 基盤 整備 業務 を 行う 。 また 、 ネットワーク や システム における インテグレーション サービス の 提 
56,ソレキア株式会社,IT,training,  ASIC 開発 や 半導体 製品 および コンポーネント デバイス 、 ネットワーク ・ ストレージ 機器 の 販売 を 手掛ける 。 また 、 官公庁 や 地方自治体 、 農協 および 生協 、 金融 ならびに 医療 など の 業種 や 業態 に 対応 する 、 ERP 、 BCP 、 環境 ・ 省エネ 分野 など の ソリューション の 提供 も 行う 。 さらに 、 クラウドコンピューティング 、 スマートフォン や タ 
57,富士通九州ネットワークテクノロジーズ株式会社,IT,training,  ｢ Next Stream Topology Visualizer ｣ や ｢ QmOS ｣ など の ハードウェア や ソフトウ 
58,株式会社インフォメーションクリエーティブ,IT,training,  ソフトウェア開発 、 オペレーション 作業 および 運用 管理 、 ネットワーク の 構築 など を 行う 。 また 、 チケット 管理 システム 「 チケット for Windows 」 「 チケット for LINE Hybrid 」 、 チケット Web 販売 シス 
59,株式会社日本プレースメントセンター,IT,training,  IT 分野 の アウトソーシング サービス 事業 を 行っ て おり 、 システム開発 から 運用 ・ 保守 まで 請け負う 。 その他 に も ネットワーク の 設計 や 導 
60,株式会社ＮＨＫテクノロジーズ,IT,training,  放送 ネットワーク の 企画 や コンサルティング 、 調査 や システム設計 、 施工 や 管理 、 運用 および 保守 を 行う 。 放送 受信 環境 の 整備 や 情報通信 ネット ワ 
61,株式会社共栄システムズ,IT,training,  業務用 統合 システム や クレジット システム の 開発 を 手掛ける 。 また 、 クラウド 環境 で の サーバー 構築 や 
62,株式会社ツリーベル,IT,training,  製造業 向け 統合 管理 システム や 医療 システム 、 制御システム 及び 金融機関 向け システム の 設計 ・ 開発 等 を 行っ て い 
63,大興電子通信株式会社,IT,training,  主 に 富士通株式会社 の 情報通信 機器 の 販売 や 設計 、 施工 ならび に 保守 を 行い 、 OA機器 や 電子計算機 、 電子 通信 設備 など を 取り扱う 。 また 、 電子計算機 の 販売 仲介 も 手掛ける 。 さらに 、 システム開発 を 行っ て おり 、 子会社 で ある 株式会社大和ソフトウェアリサーチ に システム の 開発 や 運用 管理 の 一部 を 、 株式会社アイデス に システム開発 および アウトソーシング 事業 の 一部 を 委託 する 。 提供 する システム に は 、 生産管理 システム ・ 流通業 向け ソリューション ・ ERP など が ある 
64,進々堂商光株式会社,IT,training,  複合機 や FAX 等 の OA機器 の 販売 および 保守 サービス を 提供 し て いる 。 また 、 インターネット 関連 機器 や パソコン周辺機器 など の オ 
65,ＡＧＳ株式会社,IT,training,  大型 汎用機 を 中心 と し た 受託 計算 サービス や IDC サービス 及び クラウド サービス 、 BPO サービス など を 提供 し て いる 。 子会社 の AGSビジネスコンピューター株式会社 や AGSプロサービス株式会社 も 同様 の 事業 を 展開 し て いる 。 また 、 金融機関 や 公共団体 および 一般 法人 など に対し 、 情報 戦略 策定 支援 など の システム コンサルティング や アプリケーション ・ ソフト の 受託 開発 および ネ 
66,ＧＭＯインターネット株式会社,IT,training,  インターネット インフラ や 、 ネット証券 、 広告 など 様々 な インターネット 事業 を 展開 する IT企業 で ある 。 ダイヤルQ2 プロバイダ から 出発 し 、 近年 で は ネット インフラ や 広告 、 ゲーム 、 証券 など の インターネット 事業 を 幅広く 手掛け て いる 。 ネット インフラ 事業 において は 多く の サービス が 日本国内 1位 と なっ て いる 。 2005年 ごろ に 証券 、 銀行 事業 に 参入 しよ う と し た ところ 巨額 赤字 を 計上 し て しまい 08 年 に 撤退 し た が 、 インターネット 事業 に 注力 する こと で 再建 を 進め 、 1 
67,株式会社ＰＵＣ,IT,training,  水道 料金 徴収 業務 など の 事務 処理 の 代行 や コールセンター の 運営 を 請け負う 。 その他 、 情報システム サービス の 開発 や ネットワーク 運用 管理 サービス の 構 
68,富士通関西中部ネットテック株式会社,IT,training,  キャリア ・ 官公庁 ・ 企業 と 携帯端末 ・ LTE 端末 に 向け て ソフトウェア と ハードウェア の 開発 を 行う 会社 で ある 。 また 官公庁 ・ 企業 
69,北陸電話工事株式会社,IT,training,  通信ケーブル や FTTH 化 工事 など 通信回線 関連 の 施工 を 行う 。 ビル 内 や 電柱 間 の 施工 以外 に 、 通信 や 電力 配線 等 の 地中 化 工事 
70,ＣＬＩＮＫＳ株式会社,IT,training,  スマホ 向け アプリ の 開発支援 や IT インフラ の 構築 といった ソリューション サービス を 提供 する 。 また 、 Webサイト の 制作 か 
71,株式会社エヌ・ティ・ティ・データＣＣＳ,IT,training,  JXTG エネルギー 株式会社 および JX 金属 株式会社 の 業務用 システム の 開発 ・ 保守 ・ 運用 に 取り組む 。 また 、 一般 企業 向け に IT インフラ の 導入 支援 や 構築 や 、 スマホアプリ 開発 および 地理 情報 
72,ＯＫＩクロステック株式会社,IT,training,  IOT 技術 によって 、 電気設備 や 情報処理 の ソフトウェア の 製造 や 販売 を 行う 。 LED照明 設備 へ の 転換 工事 や 、 クラウド 型 電話 システム を 利用 し た 音声 ネットワークイ 
73,株式会社アベールジャパン,IT,training,  一般 ビジネス アプリケーション や 制御 系 ソフトウェア の 設計 および 開発 、 ネットワーク 構築 など を 行っ て いる 。 また 、 空調 シス 
74,株式会社日興商会,IT,training,  事務用品 から 生活用品 や 家具 まで 、 オフィス に 特 化 し た 製品 を 販売 し て いる 。 また 、 ソフトウェア 提案 や ネットワーク 構築 ・ 保守 など 各 種IT ソリューション に 対応 
75,バリストライドグループ株式会社,IT,training,  Web アプリ開発 や インフラ 、 ネットワーク 構築 など の IT ソリューション 事業 や IT コンサルティング 事業 を 手掛ける 。 また 、 We 
76,株式会社ピーエスシー,IT,training,  Webサイト や モバイルサイト など の 構築 や 運用 を 行う 。 また 、 情報管理 システム の 開発 や SEO 対策 、 パブリッククラウド の 構築 に も 対応 。 その他 、 ネット ワ 
77,アルテリア・ネットワークス株式会社,IT,training,  中小企業 向け 光 インターネット接続 サービス 「 UCOM 光 エンタープライズ 」 「 ARTERIA 光 インターネット接続 サービス 」 や 、 法人向け IP電話 サービス 「 光 電話 ビジネス 」 など を 提供 する 。 また 、 「 ダイナイーサ 」 を はじめ と し た 2 地点 間 を 結ぶ 専用 回線 サービス や 、 仮想 通信 トンネル で 構成 し た VPN 接続 サービス など を 手掛ける 。 加え て 、 データセンター サービス や 、 無線LAN 環境 の 構築 および 運 
78,日興システムソリューションズ株式会社,IT,training,  証券会社 向け システム として オンライントレーディングシステム や 基幹 業務 システム の 連携 基盤 など を 開発 する 。 また 、 投信 口座 管理 シス 
79,株式会社エヌ・ティ・ティピー・シーコミュニケーションズ,IT,training,  IoT や クラウド 基盤 および データセンター の 運用 など の IT サービス を 行っ て いる 。 また 、 ネットワーク や セキュリティ の 構築 、 及び モバ 
80,三菱ケミカルシステム株式会社,IT,training,  主 に 、 グループ 内 企業 に対し IT コンサルティング や システム開発 、 運用 から 改善 まで トータル な IT サービス を 提供 し て 
81,中央コンピューター株式会社,IT,training,  幅広い 企業情報システム の コーディネート から 開発 ・ 管理 ・ 保守 を 主 に 行う 。 システム の 企画 、 分析 、 設計 、 プログラミング 、 テスト といった アプリケーション 開発 で は 、 システム の 運用 から メンテナンス まで 一環 し て 行う 。 先 を 見据え た 業務 システム の 設計 ・ 構築 を 提案 す 
82,日本自動化開発株式会社,IT,training,  金融 ・ 保険 業界 を 中心 として 、 信販 ・ 通信 ・ 物流 業界 など の システム 受託 業務 を 行う 。 特徴 として は 担当 社員 を クライアント 企業 に 常駐 さ せ 、 設計 から 
83,シネックスジャパン株式会社,IT,training,  IT と 流通 ネットワーク を 駆使 し た サービス で ビジネス を 支援 する 専門商社 。 様々 な ハードウェア ・ ソフトウェア の 商品 を 
84,ベース株式会社,IT,training,  金融 及び 流通 、 物流 業界 を 中心 と し た システム 並びに インフラ の 開発 を 手掛ける 会社 で ある 。 また 、 ERP 
85,株式会社システムエグゼ,IT,training,  保険会社 や 会計事務所 、 製造業 の 生産管理 及び 医療 に 関連 する システム の 開発 を 行う 。 また 、 IT インフラ の 構築 や デー 
86,株式会社ＣＩＪネクスト,IT,training,  官公庁 向け の 公共 系 システム や 金融 系 システム 、 地理 ・ 宇宙 関連 システム など の 開発 を 行っ て いる 。 また 、 交通 信号 制御 機 や 車両 感知 器 
87,日本コンピュータ・ダイナミクス株式会社,IT,training,  主 に IT 事業 と パーキング 事業 の 2つ を 行っ て おり 、 IT 事業 で は 、 iOS や Androidアプリ の 開発 や 、 コード を 自動 生成 する ツール による アプリケーション の 提供 等 を 行う システム 構築 ソリューション の 提案 を 手掛ける 。 また 、 IBM クラウド 導入 支援 や マネー ジド サービスセンター の 運営 を 行い 、 IT インフラ に関する 運 
88,株式会社キューブシステム,IT,training,  金融業 や 通信業 、 官公庁 向け に システム の ユーザーインターフェイス 設計 ・ 環境 設計 ・ 基本 設計 ・ プログラミング ・ システムテスト など を 行う 。 また 、 業務 アプリケーション の 管理 や システム の 運用 管理 、 オフショアエンハンス など に も 取り組む 。 さらに 、 システム 移行 
89,株式会社SYSKEN,IT,training,  電話 サービス や 光 ブロードバンド 、 モバイル ネットワーク 等 の 設備 構築 を 行う 。 また 、 通信 設備 ・ 通信ケーブル ネットワーク 設備工事 など の ほか 、 
90,ニッコーテクノ株式会社,IT,training,  原子力発電施設 の 配管 など の 設計 や 試運転 、 保守 など の エンジニアリング を 手掛け て いる 。 その他 、 官公庁 ・ 民間企業 の ソフトウェア の 開発 や ネ 
91,富士フイルムソフトウエア株式会社,IT,training,  主 に 、 富士フイルムグループ の 製品 や サービス における ソフトウエア 開発 を 行なっ て いる 会社 。 また 、 IT インフラ サービス も 手掛ける 。 そのほか に も 、 フォト プリント 
92,インターネットウェア株式会社,IT,training,  銀行 営業 店 端末 ならび に ATM 、 生産計画 システム や 在庫管理 システム 、 窓口 ナビゲーションシステム 及び 大学 用 シラバス システム 等 の 開発 を 手掛ける 。 また 、 電気通信設備 工事 や サー 
93,株式会社ディックソリューションエンジニアリング,IT,training,  官公庁 や 一般 企業 に対して ネットワーク システム の 構築 や 導入 支援 、 メンテナンス を 手掛け て いる 。 また 、 工場 の モータ 
94,株式会社ニーズウェル,IT,training,  業務 系 システム開発 や 基盤 構築 、 組込 系 開発 など を 手掛け て いる 。 業務 系 システム開発 において は 、 保険会社 向け に 契約 管理 ・ 顧客管理 を 行う システム や 、 銀行 向け に 勘定系システム 等 を 開発 販売 する ほか 、 ホテル 向け に フロント システム や 不動産会社 向け に 物件 情報システム 等 も 提供 する 。 また 、 基盤 構築 において は 、 IT システム の 基盤 と なる サーバ 等 の ハードウェア に関し 、 環境 設計 ・ 
