index,company,category,training/test,description
10,株式会社ＤＴＳ,IT,training,情報システムの開発・導入支援・運用・保守などを手がける。主に、銀行や証券会社などの金融分野や、年金や自治体などの公共分野の顧客に対して勘定系システムや年金システムなどを提供する。また、通信業や製造業、小売業などの法人に向けて、ERPシステムやビッグデータ解析システムなどの開発およびパッケージシステムの販売を
11,株式会社ＮＳＤ,IT,training,金融業や保険業向けのシステム、報道システム、通信システムの開発を行う。また、製品受給および生産管理、受発注の管理など商業や製造業向けのシステムの開発も手がける。さらに、貨物輸送状況照会システムや公営競技向けトータリゼータシステム、大学および地方自治体向けのシステムの開発にも取り組む。加えて、プラ
12,日鉄ソリューションズ株式会社,IT,training,ビジネスの問題解決や新ビジネスモデル支援および、経営や情報技術視点の顧客情報システムに関するコンサルティングを手掛けている。また、システムの企画や提案の他、設計や構築、運用サービスの提供を行う業務ソリューション事業を手掛ける。その他、プラットフォーム構築技術や運用ノウハウを組み合わせたITイ
13,株式会社アルファシステムズ,IT,training,固定網・モバイル網の交換ノード、伝送装置を始めとするノードに加えて、無線基地局・携帯端末に使用されるソフトウェア、通信ネットワークの管理システムなどの通信システム開発を手掛ける。その他、官公庁などの公共団体に社会インフラ関連システムを、流通・サービス業界にインターネットビジネス関
14,日本電気通信システム株式会社,IT,training,通信事業者向けのネットワークシステムの設計や構築を手掛ける。また、ソフトウェア・アプリケーションの開発も行う他、ネットワークプロダクトに関する製品の企画および
15,ネットワンシステムズ株式会社,IT,training,民間企業や通信事業会社および省庁・自治体向けにICTシステムの構築を手掛ける。システム構築に関連したセキュリティやITインフラ、ワークスタイル等について問題解決のための企画・開発・コンサルティングを行うほか、システムの運用や保守・最適化にも対応する。また、製品ベンダーとの協業や技術
16,ＴＩＳソリューションリンク株式会社,IT,training,エンジニアを顧客の企業に常駐させ、システム開発や運用などの技術や体制を提供するオンサイトプロフェッショナルサービス
17,三機工業株式会社,IT,training,建築設備事業として、大空間向け空調システム「ペリループ」をはじめとするビル空調衛生事業、ビルディング・オートメーション技術「San BACS」やWebビル情報配信サービス「S-BIWOS」などを用いたスマートビル事業を手掛ける。またプラント設備事業として、クリーンルーム内搬送技術や空港手荷物搬
18,株式会社日立システムズエンジニアリングサービス,IT,training,エンジニアを派遣しサーバーやメインフレームなどのオンサイト運用代行サービスを手掛けている。また、金融機関や保険業界および
19,三菱ＵＦＪインフォメーションテクノロジー株式会社,IT,training,三菱UFJフィナンシャル・グループ内のシステムの設計・開発を行う会社。三菱東京UFJ銀行の勘定系システムやグループ各社
20,ＣＴＣシステムマネジメント株式会社,IT,training,ITシステムの開発と運用サービスなどを行っている。サービスの対象となる企業や事業は通信事業者や金融など大規模で公共性が高いもの
21,日本システムウエア株式会社,IT,training,ITソリューション事業とプロダクトソリューション事業の2つを主な事業領域とする。ITソリューション事業では製造業や金融業、官公庁向けにコンサルティング、システムの開発から保守・運用まで一貫して請け負っている。具体的には製造業向けの生産スケジューラ「Asprova
22,株式会社Ｓｕｎ　Ａｓｔｅｒｉｓｋ,IT,training,ベトナムのハノイ工科大学と協力関係にあり、ベトナムでのソフトウェアのオフショア開発に強みを持つ。また、スタートアップへの投資やアクセラレータプログラ
23,株式会社日立ＩＣＴビジネスサービス,IT,training,日立グループ傘下の会社で、事務やIT系、製造系のBPOやWeb制作などを請け負う。BPOでは営業事務支援やSE支援業務、調達支援業務などを
24,住友電設株式会社,IT,training,架空送電線設備や地中送電設備、変電設備といった設備や配電線設備などの電力工事、一般電気工事、情報通信工事、プラント・空調工事といった設備工事を行う。また、それらの工事に関連するエンジニアリングサービスや機器の販売などを手掛け
25,株式会社ＯＫＩソフトウェア,IT,training,情報システムやネットワークの構築、保守及び機器組込ソフトの開発を行う。また取扱製品として、顧客管理システム「enjoy.CRM」や応対管
26,明治安田システム・テクノロジー株式会社,IT,training,保険会社向けの医療査定支援システムである「医療査定なび」や、先進医療情報照会システムである「先進医療なび」の開発・販売を行う。また、介護総合情報サイト「MY介護の広場
27,株式会社インテックソリューションパワー,IT,training,情報戦略や業務改革およびセキュリティ強化などに関するITコンサルティングを手掛ける。また、流通や金融、製造などの業界でシ
28,株式会社ＮＴＴデータ・ビジネス・システムズ,IT,training,業務やシステム、経営戦略に関するコンサルティングを行っている会社。また、営業管理や顧客管理など各種基幹業務システムの開
29,ＮＴＴコムソリューションズ株式会社,IT,training,NTTコミュニケーションズグループに属し、企業向けにICTソリューションを提供する会社である。また、クラウド環境の設計から運用、ネットワークソリュ
30,株式会社菱友システムズ,IT,training,生産管理システムや製品ライフサイクル管理関連システムの開発、サーバーおよびネットワークならびに周辺機器システムの保守・運用・監視を手掛ける。また、航空機やロケットなどの空力・構造解析などを行う解析ソリューションサービスの提供にも取り組む。その他、画像認識や音声認識および自然言語処理などを行うAI搭載シ
31,キャル株式会社,IT,training,官公庁や一般企業を対象とした受託システム開発や、電気回路の設計などを手掛ける。官公庁向けシステムの実績に、土木工事積算システムや防災情報管理システムなどが
32,株式会社ＪＳＯＬ,IT,training,医薬業界や食品業界および自動車業界などを対象に、基幹システムの導入から業務効率化・コスト削減に関するソリューションまでを提供している。ま
33,株式会社あとらす二十一,IT,training,主にWeb制作やインターネット広告事業を行う。ゲーム会社や旅行会社、化粧品メーカー、出版社などを
34,株式会社フォーカスシステムズ,IT,training,官公庁や地方自治体などの公共機関向けに、社会保険システムや航空管制システムなどの公共関連システムの開発を手がける。また、情報通信機器メーカーやSIerなどの民間企業向けに、通信制御システムや端末組込型システムの受託開発を行う。その他、ハードウェア・ネットワーク
35,株式会社ケアリッツ・アンド・パートナーズ,IT,training,身体介護と生活援助を行う訪問介護サービスやデイサービス運営、福祉器具の販売・レンタルなどを行っている。また、Web開発、金
36,株式会社ヴィンクス,IT,training,主に、情報関連サービス事業を手掛け、アウトソーシング分野・ソリューション分野・プロダクト分野の3分野を有する。アウトソーシング分野では、販売管理等の基幹システム・クレジットカードシステム・会計システム等の業務システムの運用管理に加え、業務システムのソフトウエアに関する保守について、アウトソ
37,エヌ・ティ・ティ・システム開発株式会社,IT,training,発注管理や売上管理などのシステムの開発や構築を行う。また、在庫管理や経営管理、Webシステムなども取り扱っている。さらに、通
38,ピットクルー株式会社,IT,training,ネットビジネスにおける広告審査支援やネット調査、投稿監視などのサービスを行っている。また、製品やサービスに対するカスタマーサポートを
39,アイテック阪急阪神株式会社,IT,training,社会システムに関連するシステムの開発および販売を主に行っており、鉄道の運行管理システムやビルのマネジメントシステム、電子カルテなどの製品を取り扱っている。
40,ＮＣＳ＆Ａ株式会社,IT,training,「確定申告受付支援システム」「住民情報システム」「電子カルテシステム」「販売管理システム」などの医療・金融業・製造業・サービス業向けのITソリューションの開発および販売を行う。また、コンピュータ機器の保守を行うハードウエア保守サービスや企業のコンピュータシス
41,ＪＢＣＣ株式会社,IT,training,企業の情報システム設計・構築から運用・保守までを手掛ける他、「俺のクラウド」と総称されるクラウド環境の提供を行う。また
42,デジタル・インフォメーション・テクノロジー株式会社,IT,training,2015年にJASDAQ、2016年に東証2部に上場を果たしたDITだが、大きな事業はビジネスソリューション事業と組込ソフトウェア開発の２つ。ビジネスソリューション事業では、金融系の企業を中心として通信・流通・運輸などの分野向けに、営業から事務、 ECサイトから社内システムまでと、幅広い業務や用途のシステムをクライアントに合わせて開発・構築から保守・運用までを行う。組込ソフトウェア開発で
43,ＥＭＣジャパン株式会社,IT,training,情報の保存や管理、保護を行うDell EMCのディスクアレイ装置やストレージ管理ソフトウェアの販売・保守を手掛けてい
44,サイバーコム株式会社,IT,training,無線通信システムをはじめとした通信ソフトウェアや、公共交通機関運賃精算システムなどの制御ソフトウェア、電子カルテシステムといった業務ソフトウェアの開発を行うソフトウェア開発事業を手掛ける。また、ネットワーク設計・構築・導入やク
45,株式会社ソルコム,IT,training,光ファイバーケーブルを地中に埋め込む等の電気通信工事や設計、施工および保守を行う。また企業ビル内の電気通信機器と情報処理
46,株式会社システムリサーチ,IT,training,子会社の株式会社ソエルと共に、クレジット決済や電子マネー決済の可能なPOS管理システムおよび、高度なFA制御技術開発用の総合開発環境などといった専門的な分野も含めた、システム開発・構築サービスの提供を手掛ける。また、常駐型を中心としたソフトウェア開発の請負や派遣も行う。さらに、販売管理や給与計算などのソフトウェアプロダクトの作成および販売、保守、ハード
47,株式会社ＮＴＴデータＭＨＩシステムズ,IT,training,三菱重工グループのグループ会社として、グループ向け業務系アプリケーションの企画や開発および運用を行う。製品情報管理システムや経営資源管理シス
48,日本事務器株式会社,IT,training,医療機関や自治体、製造業、流通業などに対し、システムの開発を請け負う。また、ハードウェア、OSやDBMSなどのプラットフォームソフトやネットワ
49,株式会社ＣＩＪ,IT,training,システムの開発・販売・運用・保守を行う。主に、OSやデータベース、アプリケーションサーバ、運用管理ソフト、Webシステムなどを取り扱っており、金融機関向け信販（クレジット）業務システムや製紙会社 基幹業務システム （CASET→COBOL）等の製造業向けシステムなどを手掛ける。また、社会福祉協議会向け総合システム「SWING」、自治体向
50,株式会社ＤＮＰデジタルソリューションズ,IT,training,情報システム運用に関するコンサルティング事業を手掛ける。また、Webサイトの企画や制作、運営
51,株式会社クエスト,IT,training,情報システムに関するコンサルティングや業務システムの開発、保守およびITインフラの構築、運用管理など情報サービスに関する一貫した業務を手掛ける。また、ITコンサルティング業務として、IT戦略の立案から運用までIT投資の効率を最大化させる「IT Value-Upサービス」などを行う。加えて、アプリケ
52,東芝ＩＴコントロールシステム株式会社,IT,training,バーチャルパワープラントなどの広域分散蓄電システムを構築するためのリチウムイオン蓄電システムなどを製造している。また、スキャンモード
53,株式会社ＪＩＥＣ,IT,training,ダイレクトバンキングシステムや、損害サービスシステムといった金融・保険分野におけるシステム開発および導入を手掛ける。また、旅行・運輸分野の座席予約シ
54,エリクソン・ジャパン株式会社,IT,training,主に電気通信機器やその周辺機器における研究開発や標準化活動を行う。また、通信機器の設計や製造、販売および設置
55,サンワコムシスエンジニアリング株式会社,IT,training,電話通信回線の敷設や交換設備、無線中継基地局の建設など、通信インフラにおける基盤整備業務を行う。また、ネットワークやシステムにおけるインテグレーションサービスの提
56,ソレキア株式会社,IT,training,ASIC開発や半導体製品およびコンポーネントデバイス、ネットワーク・ストレージ機器の販売を手掛ける。また、官公庁や地方自治体、農協および生協、金融ならびに医療などの業種や業態に対応する、ERP、BCP、 環境・省エネ分野などのソリューションの提供も行う。さらに、クラウドコンピューティング、スマートフォンやタ
57,富士通九州ネットワークテクノロジーズ株式会社,IT,training,｢Next Stream Topology Visualizer｣や｢QmOS｣などのハードウェアやソフトウ
58,株式会社インフォメーションクリエーティブ,IT,training,ソフトウェア開発、オペレーション作業および運用管理、ネットワークの構築などを行う。また、チケット管理システム「チケット for Windows」「チケット for LINE Hybrid」、チケットWeb販売シス
59,株式会社日本プレースメントセンター,IT,training,IT分野のアウトソーシングサービス事業を行っており、システム開発から運用・保守まで請け負う。その他にもネットワークの設計や導
60,株式会社ＮＨＫテクノロジーズ,IT,training,放送ネットワークの企画やコンサルティング、調査やシステム設計、施工や管理、運用および保守を行う。放送受信環境の整備や情報通信ネットワ
61,株式会社共栄システムズ,IT,training,業務用統合システムやクレジットシステムの開発を手掛ける。また、クラウド環境でのサーバー構築や
62,株式会社ツリーベル,IT,training,製造業向け統合管理システムや医療システム、制御システム及び金融機関向けシステムの設計・開発等を行ってい
63,大興電子通信株式会社,IT,training,主に富士通株式会社の情報通信機器の販売や設計、施工ならびに保守を行い、OA機器や電子計算機、電子通信設備などを取り扱う。また、電子計算機の販売仲介も手掛ける。さらに、システム開発を行っており、子会社である株式会社大和ソフトウェアリサーチにシステムの開発や運用管理の一部を、株式会社アイデスにシステム開発およびアウトソーシング事業の一部を委託する。提供するシステムには、生産管理システム・流通業向けソリューション・ERPなどがある
64,進々堂商光株式会社,IT,training,複合機やFAX等のOA機器の販売および保守サービスを提供している。また、インターネット関連機器やパソコン周辺機器などのオ
65,ＡＧＳ株式会社,IT,training,大型汎用機を中心とした受託計算サービスやIDCサービス及びクラウドサービス、BPOサービスなどを提供している。子会社のAGSビジネスコンピューター株式会社やAGSプロサービス株式会社も同様の事業を展開している。また、金融機関や公共団体および一般法人などに対し、情報戦略策定支援などのシステムコンサルティングやアプリケーション・ソフトの受託開発およびネ
66,ＧＭＯインターネット株式会社,IT,training,インターネットインフラや、ネット証券、広告など様々なインターネット事業を展開するIT企業である。ダイヤルQ2プロバイダから出発し、近年ではネットインフラや広告、ゲーム、証券などのインターネット事業を幅広く手掛けている。ネットインフラ事業においては多くのサービスが日本国内1位となっている。 2005年ごろに証券、銀行事業に参入しようとしたところ巨額赤字を計上してしまい08年に撤退したが、インターネット事業に注力することで再建を進め、1
67,株式会社ＰＵＣ,IT,training,水道料金徴収業務などの事務処理の代行やコールセンターの運営を請け負う。その他、情報システムサービスの開発やネットワーク運用管理サービスの構
68,富士通関西中部ネットテック株式会社,IT,training,キャリア・官公庁・企業と携帯端末・LTE端末に向けてソフトウェアとハードウェアの開発を行う会社である。また官公庁・企業
69,北陸電話工事株式会社,IT,training,通信ケーブルやFTTH化工事など通信回線関連の施工を行う。ビル内や電柱間の施工以外に、通信や電力配線等の地中化工事
70,ＣＬＩＮＫＳ株式会社,IT,training,スマホ向けアプリの開発支援やITインフラの構築といったソリューションサービスを提供する。また、Webサイトの制作か
71,株式会社エヌ・ティ・ティ・データＣＣＳ,IT,training,JXTGエネルギー株式会社およびJX金属株式会社の業務用システムの開発・保守・運用に取り組む。また、一般企業向けにITインフラの導入支援や構築や、スマホアプリ開発および地理情報
72,ＯＫＩクロステック株式会社,IT,training,IOT技術によって、電気設備や情報処理のソフトウェアの製造や販売を行う。LED照明設備への転換工事や、クラウド型電話システムを利用した音声ネットワークイ
73,株式会社アベールジャパン,IT,training,一般ビジネスアプリケーションや制御系ソフトウェアの設計および開発、ネットワーク構築などを行っている。また、空調シス
74,株式会社日興商会,IT,training,事務用品から生活用品や家具まで、オフィスに特化した製品を販売している。また、ソフトウェア提案やネットワーク構築・保守など各種ITソリューションに対応
75,バリストライドグループ株式会社,IT,training,Webアプリ開発やインフラ、ネットワーク構築などのITソリューション事業やITコンサルティング事業を手掛ける。また、We
76,株式会社ピーエスシー,IT,training,Webサイトやモバイルサイトなどの構築や運用を行う。また、情報管理システムの開発やSEO対策、パブリッククラウドの構築にも対応。その他、ネットワ
77,アルテリア・ネットワークス株式会社,IT,training,中小企業向け光インターネット接続サービス「UCOM光エンタープライズ」「ARTERIA光インターネット接続サービス」や、法人向けIP電話サービス「光電話ビジネス」などを提供する。また、「ダイナイーサ」をはじめとした2地点間を結ぶ専用回線サービスや、仮想通信トンネルで構成したVPN接続サービスなどを手掛ける。加えて、データセンターサービスや、無線LAN環境の構築および運
78,日興システムソリューションズ株式会社,IT,training,証券会社向けシステムとしてオンライントレーディングシステムや基幹業務システムの連携基盤などを開発する。また、投信口座管理シス
79,株式会社エヌ・ティ・ティピー・シーコミュニケーションズ,IT,training,IoTやクラウド基盤およびデータセンターの運用などのITサービスを行っている。また、ネットワークやセキュリティの構築、及びモバ
80,三菱ケミカルシステム株式会社,IT,training,主に、グループ内企業に対しITコンサルティングやシステム開発、運用から改善までトータルなITサービスを提供して
81,中央コンピューター株式会社,IT,training,幅広い企業情報システムのコーディネートから開発・管理・保守を主に行う。システムの企画、分析、設計、プログラミング、テストといったアプリケーション開発では、システムの運用からメンテナンスまで一環して行う。先を見据えた業務システムの設計・構築を提案す
82,日本自動化開発株式会社,IT,training,金融・保険業界を中心として、信販・通信・物流業界などのシステム受託業務を行う。特徴としては担当社員をクライアント企業に常駐させ、設計から
83,シネックスジャパン株式会社,IT,training,ITと流通ネットワークを駆使したサービスでビジネスを支援する専門商社。様々なハードウェア・ソフトウェアの商品を
84,ベース株式会社,IT,training,金融及び流通、物流業界を中心としたシステム並びにインフラの開発を手掛ける会社である。また、ERP
85,株式会社システムエグゼ,IT,training,保険会社や会計事務所、製造業の生産管理及び医療に関連するシステムの開発を行う。また、ITインフラの構築やデー
86,株式会社ＣＩＪネクスト,IT,training,官公庁向けの公共系システムや金融系システム、地理・宇宙関連システムなどの開発を行っている。また、交通信号制御機や車両感知器
87,日本コンピュータ・ダイナミクス株式会社,IT,training,主にIT事業とパーキング事業の2つを行っており、IT事業では、iOSやAndroidアプリの開発や、コードを自動生成するツールによるアプリケーションの提供等を行うシステム構築ソリューションの提案を手掛ける。また、IBMクラウド導入支援やマネージドサービスセンターの運営を行い、ITインフラに関する運
88,株式会社キューブシステム,IT,training,金融業や通信業、官公庁向けにシステムのユーザーインターフェイス設計・環境設計・基本設計・プログラミング・システムテストなどを行う。また、業務アプリケーションの管理やシステムの運用管理、オフショアエンハンスなどにも取り組む。さらに、システム移行
89,株式会社SYSKEN,IT,training,電話サービスや光ブロードバンド、モバイルネットワーク等の設備構築を行う。また、通信設備・通信ケーブルネットワーク設備工事などのほか、
90,ニッコーテクノ株式会社,IT,training,原子力発電施設の配管などの設計や試運転、保守などのエンジニアリングを手掛けている。その他、官公庁・民間企業のソフトウェアの開発やネ
91,富士フイルムソフトウエア株式会社,IT,training,主に、富士フイルムグループの製品やサービスにおけるソフトウエア開発を行なっている会社。また、ITインフラサービスも手掛ける。そのほかにも、フォトプリント
92,インターネットウェア株式会社,IT,training,銀行営業店端末ならびにATM、生産計画システムや在庫管理システム、窓口ナビゲーションシステム及び大学用シラバスシステム等の開発を手掛ける。また、電気通信設備工事やサー
93,株式会社ディックソリューションエンジニアリング,IT,training,官公庁や一般企業に対してネットワークシステムの構築や導入支援、メンテナンスを手掛けている。また、工場のモータ
94,株式会社ニーズウェル,IT,training,業務系システム開発や基盤構築、組込系開発などを手掛けている。業務系システム開発においては、保険会社向けに契約管理・顧客管理を行うシステムや、銀行向けに勘定系システム等を開発販売するほか、ホテル向けにフロントシステムや不動産会社向けに物件情報システム等も提供する。また、基盤構築においては、ITシステムの基盤となるサーバ等のハードウェアに関し、環境設計・
95,コムシス情報システム株式会社,IT,training,通信事業者や金融、官公庁などに対して情報管理システムの受託開発および運用を行う。また、サーバーやネットワークの構築や、セキュ
96,日本ＳＥ株式会社,IT,training,製造業、小売・卸売業、サービス業などの産業分野のシステム構築設計から開発、運用・保守まで行っている会社。中央省庁自
97,株式会社アルファネット,IT,training,ITインフラの基盤構築からサイバーセキュリティ対策、通信ネットワーク構築までネットワーク上だけでなく、物理的工事等ト
98,株式会社アルファネット,IT,training,サーバー構築やデスクトップ仮想化の導入などのITインフラ基盤構築を手掛ける。また、サイバーセキュリティ対策や監視カメラの導入による物理セキュリティ対策などのセキュリティ事業
99,アドソル日進株式会社,IT,training,社会インフラ事業として、エネルギー分野や交通・運輸分野などの社会インフラにおけるシステム・インテグレーション・サービスを提供している。主なサービスとして、地理情報システムやシステム監視ソリューションおよび総合防災情報システム構築ソリューション、電力発電プラント監視制御システムソリューション、エネルギーモニタリングシステムなどを取り扱う。また、I
100,株式会社サイプレス・ソリューションズ,IT,training,受注管理等のシステム開発や、ネットワーク設計やインフラ構築・運用等、顧客のサポート業務を手掛ける。また、OA機器操作業務や各種事務、通訳等、各企
101,株式会社エスアイイー,IT,training,ネットワーク講座やプログラミング講座などを展開するITスクール「システムアーキテクチュアナレッジ」の運営を手掛けている。ま
102,フィット産業株式会社,IT,training,コンサルティングを通し顧客企業のシステムやITインフラの設計および導入をサポートする。事務系のアプリケーションソフトや流通シス
103,ＤＩＲインフォメーションシステムズ株式会社,IT,training,大和証券グループの一社。大和証券グループ会社をはじめ、金融機関や通信会社などのシステム受託開発および企画提案、設計など一貫して実施している。
104,株式会社ＫＹＯＳＯ,IT,training,IT関連のコンサルティングやアプリケーション開発運用、インフラの構築ならびに保守などを行う。主にIT
105,旭陽電気株式会社,IT,training,エッチング装置や枚葉成膜装置、ウェハープローバ装置およびダイボンダ装置などの製造実績がある。また、水道料金や公営企業
106,チームラボ株式会社,IT,training,Webサイトのシステム設計やインフラ構築および企業ブランディングなどを手掛ける。また、アプリ開発
107,Ｃｏｌｔテクノロジーサービス株式会社,IT,training,クラウドを介したネットワーク「Colt IQ Network」を中心としたICTインフラサービスを企業向けに提供している。主にデータ
108,日立水戸エンジニアリング株式会社,IT,training,日立グループの一員であり、エレベーターやエスカレーターの企画及び設計を行う。また、電子連動装置や運転保安システム、インバー
109,株式会社信興テクノミスト,IT,training,システムの構築や開発および運用を行い、自社開発ソフトウェアの販売やセキュリティサービス、コンシューマ向けアプリ開発も手掛ける。人やフォークリフ
110,テクノブレイブ株式会社,IT,training,システム設計やサーバーやインフラ基盤全体の設計・構築を行っている。また、ITサービスマネジメントやエン
111,三谷産業株式会社,IT,training,無機化学品・有機化学品や機能性素材、医農薬中間体・医薬品原薬等を製造・販売する。また、空調設備や給排水衛生設備、消防・防災設備などの設計や施工を手掛ける。加えて、オリジナルグループウェア「POWER EGG」のような業務効率化システムの開発および販売などを手掛けている。その他、プラスチック成形品・エ
112,株式会社ＮＴＴデータ・エマーズ,IT,training,システムの構築や開発を手掛けており、業務分析から導入支援、管理や保守まで行う。主に、金融機関や流通業およびサービス業、製造業ならびに官公庁向けのシステ
113,さくらインターネット株式会社,IT,training,通信機器類を自由に設置できるスペースやインターネット接続に必要な回線および電源などの貸与を行うハウジングサービスを提供する。また、ホスティングサービスとして、物理サーバ「さくらの専用サーバ」を専用で利用するサービスの提供を行う他、 レンタルサーバサービスとして、サーバのレンタルと関連するメンテナンスなどの業務を代行するサービス
114,アイ・イー・シー株式会社,IT,training,システム設計やソフトウェア開発を主な業務としており、ETC監視システムや血液自動分析装置ソフトの開発などを行っている。また、発変電設備における保護装置や
115,アイシン・インフォテックス株式会社,IT,training,アイシングループのIT業務を担っており、各会社や各工場のシステム共有化からセキュリティ対策までを手掛ける。原材料や部品調達、
116,株式会社メガ,IT,training,不動産物件の仲介やオフィスのレイアウトなどの店舗構築サポート並びに、インターネットサービス等のシステム構築および運用サポートを手掛ける。また、オフィス用品やパ
117,株式会社エヌ・ティ・ティ・データ・エンジニアリングシステムズ,IT,training,製造業を中心とした顧客にSI提案およびシステム構築を行っている。その他、3次元CADやCAM、CAEの製造業のシステム
118,コベルコソフトサービス株式会社,IT,training,コベルコシステム株式会社のグループ会社であり、WebやCADなどのシステム開発および運用を手掛けている。また、コンピュータ
119,株式会社フューチャーイン,IT,training,民間企業や自治体および学校など、様々な業種向けのシステム開発を手掛ける。勤怠管理や会計システムなどを開発している。また、顧客のニーズに合わせたシス
120,三和コンピュータ株式会社,IT,training,ゴルフ場の予約や清算および顧客管理等を行う「Approach」のほか、ホテル基幹システム「NEHOPS」等、業務改善システムの開発および販売を手掛ける。また、企業年金
121,パシフィックシステム株式会社,IT,training,製造業や流通業、金融業向けに検査装置やシステムの開発を手掛ける。主な製品としては、「全周囲外観検査センサー」「有機EL照明検査装置」などの検査装置や、営業支援システム「Selicaクラウド」や顧客管理システム「SELICA for Notes」などが挙げられる。また、データ連携ミドルウェア「ASTERIA wa
122,ＮＳＳＬＣサービス株式会社,IT,training,ITアウトソーシングサービス｢NSFITOS｣や、クラウドサービス及びITエンジニアリング等の提供を行う。また、ITインフラ
123,テックスエンジソリューションズ株式会社,IT,training,製造業をはじめ、金融や医療といった幅広い分野に対応しているシステムインテグレーター。システム導入に関するコンサルティングからシステム
124,株式会社インフォセンス,IT,training,物流システムの新設及び再構築計画の事前検証を行う。RaLCや発見型BIツールQlikView等の業務分析及びBIサービス導入を行っている。この他にも、人事及び給
125,ケー・イー・エルテクニカルサービス株式会社,IT,training,サーバーやストレージ、ネットワークなどの設計や構築および導入後の保守を手掛ける。また、
126,株式会社ＮＥＸＣＯシステムズ,IT,training,NEXCOグループ高速道路の交通量や料金関係の計数管理システムの開発と運用を手掛ける。また、NEXCOグループの情報システムや基
127,富士通エフサス・カスタマサービス株式会社,IT,training,システムの設計や構築、導入およびメンテナンス等の運用サービスの提供を行う。また、オープンシステムやATMやCD等の金融機関向けシステムに加
128,株式会社ライオン事務器,IT,training,デスクやパーテーションなどのオフィス家具の製造および卸売を行う。また、文具や事務用品の製造も手掛ける。その他、LAN構築やオフィス
129,株式会社メルカードテクノ開発,IT,training,組込系を含むソフトウェアの受託開発を主に行っており、ソフトウェア製品の開発及び販売も手掛けている。業績管理や財務管理など各種管
130,コンピューターサイエンス株式会社,IT,training,ITサービス関連事業を展開している。ITシステムインフラの構築やシステム開発事業の他、セキュリティーサービスも請け負っている。またI
131,ほくでん情報テクノロジー株式会社,IT,training,北海道電力グループのグループ会社の一つである。主に、グループ会社の基幹業務システムや全社ネットワークシステムの構築および運用を行う。また、IT教育サービ
132,株式会社ミウラ,IT,training,ネットワーク構築やシステム開発などのICTソリューションをはじめとし、企業の課題解決のためのソリューションを提供する。画像診断装置などのメディカル
133,三信電気株式会社,IT,training,国内外メーカーの半導体や電子部品の卸売および輸出入を行っている。また、モジュールメーカーとの協業によるターンキーソリューションの提供も手掛ける。そして、国内外のマーケティング情報の提供や製品の提案、開発サポート及び共同開発や受託開発、技術コンサルティングなどを行う。その他、ソリューション事業としてネットワーク、仮想化などの提案・
